User_Id,Combined_Genre,Score
19,heavy metal,85
19,,53
19,,70
19,thrash metal,83
19,thrash metal,45
19,power metal,51
19,death doom metal|melodic death metal|melodic doom metal,65
19,black metal|post-metal,26
19,doom metal|heavy metal|hard rock,76
19,bay area thrash metal,73
19,bay area thrash metal,29
19,power metal|heavy metal|thrash metal,83
19,,69
19,heavy metal,34
19,,79
19,,89
19,,73
19,,82
19,,59
19,,69
19,,77
19,,59
19,,55
19,,45
19,heavy metal,84
19,,90
19,,66
19,,70
19,,92
19,,79
27,progressive metalcore|extreme power metal,96
19,thrash metal,30
19,thrash metal,39
19,thrash metal|speed metal,80
19,,77
19,,80
19,gothenburg metal|alternative metal,5
19,power metal,77
19,power metal,75
19,heavy metal|us power metal,30
19,heavy metal|us power metal,76
19,heavy metal|us power metal,69
19,heavy metal|us power metal,62
19,heavy metal|us power metal,59
24,heavy metal|hard rock,100
19,heavy metal|hard rock,86
19,power metal,36
19,power metal|speed metal,81
19,new wave of british heavy metal,78
19,new wave of british heavy metal,85
19,new wave of british heavy metal,80
28,melodic death metal,100
19,heavy metal,69
19,heavy metal,66
19,heavy metal,52
19,heavy metal,68
19,heavy metal,39
19,heavy metal,20
19,heavy metal,84
19,hard rock,77
19,heavy metal|hard rock,92
19,heavy metal,65
29,folk metal|progressive metal,88
19,heavy metal|speed metal,89
19,heavy metal|speed metal,79
19,heavy metal|speed metal,81
19,power metal|thrash metal,75
19,,19
19,speed metal,83
29,power metal,85
19,power metal,70
19,heavy metal|us power metal,90
19,heavy metal|us power metal,80
19,heavy metal|us power metal,79
19,heavy metal,30
19,black metal,90
29,extreme power metal,94
30,atmospheric sludge metal,80
6,grindcore,75
6,black metal,90
6,atmospheric sludge metal|post-hardcore,70
6,brutal death metal|technical death metal,85
6,black metal,75
30,us power metal,96
30,heavy metal,99
31,industrial metal,22
13,black metal,96
29,heavy metal|doom metal,92
29,thrash metal,90
32,gothic metal,90
32,atmospheric gothic metal,85
32,,40
29,power metal,95
21,gothenburg metal,90
21,gothenburg metal,65
21,melodic death metal,85
29,progressive power metal,94
24,progressive power metal,85
24,progressive metal,96
21,avantgarde metal|progressive metal|symphonic metal,75
29,heavy metal|hard rock,100
29,thrash metal,80
26,deathcore,47
29,glam metal|hard rock|heavy metal,80
29,power metal,98
33,deathcore,95
13,black metal,99
26,,89
34,progressive death metal,90
21,gothenburg metal,97
35,power metal,92
29,melodic black metal|extreme power metal|folk metal,100
33,groove thrash metal,80
36,heavy metal,85
36,heavy metal,95
35,atmospheric black metal|funeral doom metal,88
37,heavy metal,100
36,,65
33,hard rock,95
35,heavy metal|us power metal,91
38,black metal|death metal,100
39,brutal death metal,93
40,heavy metal|us power metal,80
6,black metal,95
6,,85
40,heavy metal,90
41,death metal,100
42,black metal|folk metal,97
43,heavy metal,95
44,experimental black metal,95
29,,82
6,heavy metal,65
6,heavy metal,85
45,heavy metal,75
6,,90
6,death metal,85
6,death metal,95
6,death metal,95
6,,100
6,black metal,85
6,power metal,83
33,death metal,65
33,metalcore,85
29,folk metal|gothic black metal,95
45,death metal,60
45,hard rock,75
40,hard rock|heavy metal,95
26,death metal,45
35,heavy metal,85
33,death n roll,65
40,hard rock,65
40,,60
40,technical death metal,80
40,heavy metal,80
40,,85
40,heavy metal,72
40,black metal,90
33,depressive black metal|electronica|shoegaze,95
29,power metal|speed metal,90
12,bay area thrash metal,93
46,progressive metalcore|extreme power metal,100
11,progressive sludge metal,92
33,thrash metal,85
35,speed metal|power metal,93
26,thrash metal,65
19,doom metal,84
19,extreme power metal,85
12,hardcore,98
19,thrash metal,68
33,heavy metal,70
45,progressive metal|progressive rock,75
47,technical death metal,78
29,heavy metal,95
48,power metal,100
29,heavy metal|us power metal,75
49,technical death metal,100
26,groove death metal,22
45,black metal,70
6,grindcore,95
6,progressive metal,95
6,progressive metal,95
6,industrial metal,88
6,,80
6,,72
6,death metal|grindcore,88
12,progressive metal,96
24,power metal,66
50,industrial metal,73
51,,90
29,,88
52,death metal,23
53,extreme progressive metal,78
53,death doom metal,82
53,symphonic black metal,36
53,melodic death metal|thrash metal,31
24,gothic doom metal,80
53,thrash metal,60
53,epic doom metal,78
53,death metal,78
53,progressive deathcore|symphonic death metal,52
53,death metal,84
54,heavy metal,100
4,progressive metalcore|extreme power metal,100
